why_art,llama_generated,human_codes,clean_llama_generated,BLEU Score,BERT Score,ROUGE Score
"Art has been defined as ""The expression or application of human creative skill and imagination, typically in a visual form such as painting or sculpture, producing works to be appreciated primarily for their beauty or emotional power."" 
The game I played used the creation of digital graphics to tell a story that had immense emotional power. And I believe in this case the reason to play this game would be primarily for that emotional journey. The gameplay isn't anything to shout about, the puzzles are pretty simple. Therefore I believe it falls into that definition.","[emotional response, reflects the range of emotional reactions, storytelling through digital graphics, simple gameplay and puzzles]",story with emotional power; emotional journey,emotional response; reflects the range of emotional reactions; storytelling through digital graphics; simple gameplay and puzzles,1.0832677820940877e-231,{0.5974712371826172},{0.18181818181818182}
"Art leaves the user to reflect and interpret on it. While I have played many games that I would consider works of art (be it because the graphics were exciting, or the game play was so masterful that it left me amazed, or that the story and visuals left me contemplative), this particular game felt especially impactful. Nearly a year later, I still think about what this game was trying to say, and any media that leaves such an impression is surely artistic.","[emotional response, reflects the range of emotional reactions participants have towards games, encompassing feelings of curiosity, uncertainty, and puzzlement as they engage with the artistic elements of gameplay]",reflecting on the game's message; lasting impression,emotional response; reflects the range of emotional reactions participants have towards games; encompassing feelings of curiosity; uncertainty; and puzzlement as they engage with the artistic elements of gameplay,7.919883909890055e-232,{0.5462522506713867},{0.16666666666666666}
"Art should make us think and reflect. Art should be able to be analyzed critically and should tell us something about ourselves or the person(s) who create the art--things cultural, personal, historical, etc. Art is an artifact that encodes the spectrum of our humanity and asks us to face this truth.",[art should make us think and reflect; art should be able to be analyzed critically; art should tell us something about ourselves or the person(s) who create it; art is an artifact that encodes the spectrum of our humanity; art asks us to face the truth],thinking; reflection,art should make us think and reflect; art should be able to be analyzed critically; art should tell us something about ourselves or the person(s) who create it; art is an artifact that encodes the spectrum of our humanity; art asks us to face the truth,0.0,{0.4524042010307312},{0.08163265306122448}
art to me means that it brings me on a journey and makes me feel. this game brought me on a journey through its narrative and made me feel for the characters. it had its opinion on the subject matter. ,[emotional response; narrative; character connection; artistic elements of gameplay],emotional journey; game had something to say,emotional response; narrative; character connection; artistic elements of gameplay,1.0518351895246305e-231,{0.5443118810653687},{0.125}
"Art, regardless of media, should provoke an emotional or intellectual reaction. This game provoked both","[""emotional response""; ""emotional reaction""]",emotional and intellectual reaction,emotional response; emotional reaction,1.5319719891192393e-231,{0.6795040965080261},{0.5}
"As before: it was engaging, thought-provoking, very distinct and often unenjoyable - a work of art that I appreciate aesthetically yet also find numerous flaws with","[engaging, thought-provoking, distinct, unenjoyable, aesthetic appreciation, flaws]",though-provoking; aesthetic appreciation,engaging; thought-provoking; distinct; unenjoyable; aesthetic appreciation; flaws,1.1200407237786664e-231,{0.7186952829360962},{0.5}
As described previously mostly the landscaoe and visual art but now that i think about it more the whole story and feelings it gives you,"[""feelings""; ""emotional response""]",landscape; visual art; story; feelings,feelings; emotional response,0.0,{0.675236701965332},{0.25}
"As mentioned before the fact there was so clearly an intended emotional response, and that was linked to the an attempt to force the player to think about the purpose of games, about themself as a person makes it art.","[emotional response, intended emotional response, purpose of games, self-reflection]",intended emotional response; thinking about the purpose of games; thing about oneself as a person,emotional response; intended emotional response; purpose of games; self-reflection,3.483446368530379e-78,{0.7030406594276428},{0.48}
"As stated above, the aesthetic experience of the game - The 'ingredients' of visuals, musical, philosophy, and story-telling combined. ","[aesthetic experience, visuals, musical, philosophy, story-telling]","aesthetic experience; the combination of visuals, music, philosophy and story-telling",aesthetic experience; visuals; musical; philosophy; story-telling,4.306679579551995e-155,{0.7793156504631042},{0.7777777777777778}
"As stated above, there is literally nothing a video game could do to NOT be art. Art is not a judgement of merit. ",[artistic expression; the nature of art],all games are art,artistic expression; the nature of art,1.1640469867513693e-231,{0.34322527050971985},{0.2}
"Because it transcended the game itself. Normally a game is the medium that you interpret a story or something through, but this felt like it was directly to me without any translation.","[ ""transcended the game itself""; ""directly to me without any translation"" ]",transcending the medium; speaking directly to the player, transcended the game itself; directly to me without any translation ,6.373704167435469e-155,{0.6453214883804321},{0.4444444444444445}
being aware that the game was the way it was because of deliberate choices the developers made,"[emotional response, awareness of deliberate choices made by game developers, understanding of the game's design and mechanics, appreciation for the artistic elements of gameplay]",awareness of the choices the developers made,emotional response; awareness of deliberate choices made by game developers; understanding of the game's design and mechanics; appreciation for the artistic elements of gameplay,5.72773290480137e-155,{0.6737767457962036},{0.25}
"Combination of art style, music and where this comes in the game narrative.","[""art style""; ""emotional response""]","combination of art style, music, and narrative",art style; emotional response,6.085166479973199e-232,{0.5716180801391602},{0.36363636363636365}
"creative, beautiful","[creative, beautiful]",creativity; beauty,creative; beautiful,0.0,{0.799714207649231},{1.0}
"Defining what art is is super subjective, but to me this counted because 1. people had to create those graphics, and 2 . I liked it and thought it was pretty (which yes, is not necessary for art,)","[emotional response, graphical design and visual appeal, subjectivity of art definition]",beauty created by humans,emotional response; graphical design and visual appeal; subjectivity of art definition,0.0,{0.4581988751888275},{0.0}
Feeling real emotions and being outside myself,"[emotional experience; reflects the range of emotional reactions participants have towards games, encompassing feelings of curiosity, uncertainty, and puzzlement as they engage with the artistic elements of gameplay.]",emotions; being outside oneself,emotional experience; reflects the range of emotional reactions participants have towards games; encompassing feelings of curiosity; uncertainty; and puzzlement as they engage with the artistic elements of gameplay.,0.0,{0.47419628500938416},{0.0625}
"First of all, it is the uncommon atmosphere I noted above.
The other thing is the message this game tries to send to the players.
That victory isn't always great, and sometimes it is the wrong thing you do, even if it looks good in the beginning.","[emotional response, uncommon atmosphere]",uncommon atmosphere; conveying a message,emotional response; uncommon atmosphere,1.0032743411283238e-231,{0.6864821314811707},{0.4444444444444445}
"First thing, the beauty of the view. Such a scene would be beautiful in real life, but seeing it in a game, knowing all the work that was required to show this is mind-blowing. But the valley also brings a lot of feelings, both excitement (to explore this new world) and emptiness, looking at how small you are and peaceful everything looks. Finally, it is one of the first times you see something this big in the game, showing how you progressed in the game, adding to the said feelings. ","[emotional response, beauty; exploration]",beauty; effort invested in making the game;  feelings,emotional response; beauty; exploration,4.739132419722992e-232,{0.6311991810798645},{0.16666666666666666}
"For a game experience to feel like a work of art to me, it would usually be an immersive experience that creates a real emotional response. Since games accomplish this through a combination of illustration, animation, sound, music, storytelling elements all together, I would consider these types of experiences art.","[emotional response; immersive experience; combination of elements (illustration, animation, sound, music, storytelling)]","emotional response; combination of animation, sound, music, story",emotional response; immersive experience; combination of elements (illustration; animation; sound; music; storytelling),7.401184483348608e-155,{0.719542384147644},{0.7000000000000001}
"For me instead of the graphics of the game being a means to an end meaning they allowed me to play the game, I experienced the graphics as a means to their own end. I no longer saw the graphics as a way to play the game or as a way to learn something about the game, but as something else entirely. I stopped playing and simply looked at the graphics as I would paintings on the wall of a museum and for a moment I felt connected to the game in a completely different way. For me, art is about feeling something and this video game did that using colors and lines instead of just dialogue and story. ","[emotional response, graphics as a means to their own end, artistic elements of gameplay, feeling something]",graphics as a means to their own end; feeling something,emotional response; graphics as a means to their own end; artistic elements of gameplay; feeling something,0.48415247130346006,{0.8699547648429871},{0.7692307692307693}
"Graphics aside, what truly made it art was the emotions and the feelings that it evoked. ","[emotions; reflects the range of emotional reactions participants have towards games, encompassing feelings of curiosity, uncertainty, and puzzlement as they engage with the artistic elements of gameplay, feelings, evocation]",emotions and feelings,emotions; reflects the range of emotional reactions participants have towards games; encompassing feelings of curiosity; uncertainty; and puzzlement as they engage with the artistic elements of gameplay; feelings; evocation,9.336117803135294e-232,{0.4540938436985016},{0.1875}
"Having the player interact directly with the themes of the game and having those present in the gameplay is a great way to make a player experience the intended art. The saying in storytelling is that one should show and not tell but games can take it a step further by having you do instead of telling. There are dozens of games that accomplish this really well but like with movies, not all games are trying to be art. Some are just meant to be fun like how some movies exist solely to be fun summer action flicks or accessible comedies.

In my mind, the core is that a videogame is art of it makes you feel something just by playing it. That feeling is often just joy but often times games can make you feel so much more than that. Nier: Automata makes you question ""What is human?"", Detroit: Beyond Human makes you ask ""Is this ethical?"", God of War (2018) makes you tackle parenthood, Shadow of the Colossus makes you question ""Is this justified?"", Death Stranding asks if the journey is worth the struggle. Media that makes you struggle with these questions I think is the definition of good art.","[feeling something by playing the game, emotional response, interaction with themes, artistic elements of gameplay, questioning and struggling with ethical and philosophical questions]",interacting with the themes of the game; playing makes one feel something; struggling with questions,feeling something by playing the game; emotional response; interaction with themes; artistic elements of gameplay; questioning and struggling with ethical and philosophical questions,6.2902018522998635e-155,{0.7268965840339661},{0.3684210526315789}
How the game and world looked so good.,[visual appeal; emotional response],visual quality,visual appeal; emotional response,1.2882297539194154e-231,{0.6219743490219116},{0.3333333333333333}
"I believe storytelling and creating a world are a form of art. Playing the game feels like taking part in an interactive story. I compare it to reading, but the story is conveyed differently and lets me choose.",[interactive storytelling; emotional response],taking part in an interactive story; storytelling and world creation are art,interactive storytelling; emotional response,1.7434293862051595e-232,{0.6217573285102844},{0.25}
"I believe video games are art. It doesn't feel right to check off features to qualify for being art. The creators clearly intended it to be so, so it is.",[artistic intent; rejection of criteria-based classification],all games are art; because the developers inted it to be so,artistic intent; rejection of criteria-based classification,0.0,{0.38151246309280396},{0.0}
"I can feel it like a mix with architecture, paint, design, digital art and history telling. 
Also, you can win/purchased clothes for your character and each one is more beautiful and detailed than the others.",[emotional response; mix of art forms; customization; attention to detail],"beautiful clothes; combination of architecture, painting, design, digital art, story",emotional response; mix of art forms; customization; attention to detail,1.0244914152188952e-231,{0.6063072681427002},{0.20000000000000004}
"I can't entirely say, since I don't have a particularly concrete definition (it strikes me as one of those frustratingly vague things like gender, and not something that can clearly be defined in a sentence or two), but it evoked at least as much emotional impact in me as other media experiences (books, movies, etc.) that I know typically are considered art, so it seems to fit to me.",[emotional response],emotional impact,emotional response,1.5319719891192393e-231,{0.8369029760360718},{0.5}
I consider almost all games as art. They possess stories which are often works of art. Graphics and animations which are absolutely works of art. ,[games as art; emotional response],stories; graphics and animation; almost all games are art,games as art; emotional response,5.474320712955125e-232,{0.5474865436553955},{0.2857142857142857}
"I consider books, movies and other storytelling mediums as art, I played the game for the story ","[emotional response; ""emotional response"", storytelling, engagement]",story,emotional response; emotional response; storytelling; engagement,0.0,{0.40551984310150146},{0.0}
"I consider it art as it made me truly and deeply feel something. I can watch a movie stupid. Where I sit there and donÃÂÃÂÃÂÃÂt take any of it in, maybe I laugh at the jokes but at the end IÃÂÃÂÃÂÃÂm not truly moved in anyway. Whereas playing Portal 2 made me truly happy with its comedy and I felt good about myself upon completing puzzles. ItÃÂÃÂÃÂÃÂs left a lasting impression that IÃÂÃÂÃÂÃÂll never forget.","[emotional response, personal engagement, memorable experience, sense of accomplishment, comedy and humor]",truly and deeply feeling something; lasting impression,emotional response; personal engagement; memorable experience; sense of accomplishment; comedy and humor,9.788429383461836e-232,{0.5381585955619812},{0.10526315789473685}
"I consider it art because it reads like a movie and the graphics allow for me to feel immersed as if it was a real life story. It's still a game because it's interactive, but if it was turned into an animated picture, it would still have the same effect and immersion.","[emotional response, immersion, interactivity]",reads like a movie; immersion,emotional response; immersion; interactivity,0.0,{0.5039712190628052},{0.22222222222222224}
"I consider this experience artistic because like any film or book or painting, it told a story that was deeply meaningful. The narrative of the game and its writing wrestled with issues of morality, class, racism, sexism, and many other topics in ways that many other video games have been afraid to touch. The experience was true to life as it depicted GeraltÃÂÃÂÃÂÃÂs reality in shades of gray rather than being simply black and white, good and evil, etc. One of artÃÂÃÂÃÂÃÂs tendencies is to reflect back to us who we are and what we do in an angle we might not have considered before. I think this game did just that in my experience. ","[emotional response, narrative and storytelling, artistic elements of gameplay, reflection of real-life issues, morality, class, racism, sexism, gray areas, complexity, self-reflection, introspection]",deeply meaningful story; narrative with serious themes; making the player reflect,emotional response; narrative and storytelling; artistic elements of gameplay; reflection of real-life issues; morality; class; racism; sexism; gray areas; complexity; self-reflection; introspection,8.412065649527267e-232,{0.5829399824142456},{0.1142857142857143}
I consider this experience as art for two reasons. One is that it is extremely innovative and helps to push the boundaries of storytelling in video games and thus matures the entire medium. The other is that it has a deeper and more complex emotional layer that can be interpreted in many ways.,"[""emotional response""; ""deeper and more complex emotional layer with multiple interpretations""]",innovation; pushing the boundaries of storytelling; deep and complex emotions,emotional response; deeper and more complex emotional layer with multiple interpretations,1.1896457329133973e-231,{0.6083388924598694},{0.28571428571428564}
I consider what I have made within the game to be my art. I showed it off proudly as I would do with other forms of art that I have created.,[pride in creation; emotional response],making one's own art in game,pride in creation; emotional response,9.97486269044271e-232,{0.4065864384174347},{0.16666666666666666}
"I didn't care about the gameplay or mechanics; I was motivated entirely by the visual and emotional beauty, and the emotional experience was so powerful that I still feel strongly when I reflect on the experience. To me, that emotion & beauty driven experience makes it art.","[emotional response, beauty, motivation, powerful experience]",visual and emotional beauty; reflection,emotional response; beauty; motivation; powerful experience,1.384292958842266e-231,{0.6930248141288757},{0.3636363636363636}
"I feel most games are a form of art, but this one in particular really combined visual art and music in a way that is undeniably artistic.",[artistic elements of gameplay; emotional response; combination of visual art and music],combination of visual art and music,artistic elements of gameplay; emotional response; combination of visual art and music,0.4172261448611506,{0.7616277933120728},{0.6666666666666666}
"I felt like the game scenery was more beautiful than anything IÃÂÃÂÃÂÃÂve seen in real life, even though it also had a realism to it. It seemed to comment on my country and its culture through visuals, and sound effects. I drove around or walked around the map a lot just to feel like I was someplace familiar. I liked that even through the chaos and destruction brought about by players and NPCs, the sunshine never went away, and the whole world had this constant ÃÂÃÂÃÂÃÂglossÃÂÃÂÃÂÃÂ that made it perfect. ","[""emotional response""; ""realism""; ""nostalgia""; ""escapism""]","beautiful scenery; commenting on country and culture; ""gloss"" that made it perfect",emotional response; realism; nostalgia; escapism,0.0,{0.4893823564052582},{0.0}
I felt the work had a sort of beauty in how well it was put together.,"[beauty, well-put-together]",beauty; craft,beauty; well-put-together,1.5319719891192393e-231,{0.5744853615760803},{0.3333333333333333}
"I frequently tell people that playing RPGs is similar to reading a book or watching a movie, but you are able to interact and influence the plot. If literature and film are considered art, why wouldn't games be?","[interactivity and influence on the plot, comparison with other forms of art (literature and film), questioning the status of games as art]","literature and film are art, so games are too",interactivity and influence on the plot; comparison with other forms of art (literature and film); questioning the status of games as art,1.0003688322288243e-231,{0.5320726037025452},{0.2580645161290322}
"I guess simply because the entire game looks like a drawing, and as an artist I really enjoyed that. People seem to want art to always be something deeper, but I just enjoy good drawings.",[appreciation for artistic elements; emotional response],good drawings,appreciation for artistic elements; emotional response,0.0,{0.41944169998168945},{0.0}
"I hate to admit this, but it's got a lot to do with how 'seriously' the game takes itself. It distances itself from and subtly critiques gamer culture. IMO the feedback loop between game industry market logic and toxic gamer culture is the main thing stopping the medium from being broadly accepted as an art form. It's not the form or content of games themselves; it's the way they're consumed globally. The Beginner's Guide is as didactic as it is entertaining, and while I *do not* think that entertainment and art are mutually exclusive, I do think that aesthetically 'challenging' or hard-to-digest games are more easily framed as art in public discourse. Like... Being motivated primarily by profit haemorrhages credibility away from any art form, not just games.

Separately, the game made it feel like I was actually in dialogue with the developer. And it isn't shy about the unidirectionality of that relationshipÃÂÃÂÃÂÃÂhe does what he wants in order to progress his narrative, like pulling you out of a level or turning on 'noclip', etc.

Ultimately, I guess I *like* to think of The Beginner's Guide as art because it would be damned near impossible for anyone to argue that it's *not* art. It fits the AnglophoneÃÂÃÂÃÂÃÂpatriarchalÃÂÃÂÃÂÃÂnormative/prescriptive idea of what art is. While I do not think we should pander to that definition of art (all canons are bullshit, but especially male-dominated Western ones), artsy games like The Beginner's Guide get a 'foot in the door' and make it possible to point to more heterogeneous, less pretentious or chin-strokey games, and start having discussions with non-gamers about how those are also equally art.","[emotional response; being motivated primarily by profit haemorrhages credibility away from any art form, not just games; artsy games like the beginner's guide get a 'foot in the door' and make it possible to point to more heterogeneous, less pretentious or chin-strokey games, and start having discussions with non-gamers about how those are also equally art.]",game takes itself 'seriously'; critique of gamer culture; feeling like dialogue with the developer; fits a common definition of art,emotional response; being motivated primarily by profit haemorrhages credibility away from any art form; not just games; artsy games like the beginner's guide get a 'foot in the door' and make it possible to point to more heterogeneous; less pretentious or chin-strokey games; and start having discussions with non-gamers about how those are also equally art.,9.958726787503715e-232,{0.5128511190414429},{0.12658227848101267}
"I think it was the perfect combination of the atmosphere, colors, story and most importantly the soundtrack, I still listen to some of the songs of that soundtrack","[""atmosphere""; ""emotional response""]","combination of atmosphere, colors, story, soundtrack",atmosphere; emotional response,0.0,{0.5203831791877747},{0.2222222222222222}
i think it's a unique thing to video games as in how the mechanics of gameplay create a story of their that each person experiences distinctly,[personalized experience of gameplay; emotional response; uniqueness of video games as a medium for storytelling],how gameplay creates a story,personalized experience of gameplay; emotional response; uniqueness of video games as a medium for storytelling,9.257324954728539e-232,{0.5253815054893494},{0.2}
"I think it's because the style of the game struck me as more artistic than a game where the design is extremely realistic. I could see the effort designers put into making it aesthetically pleasing, but the style still felt unique in the way that a specific artist's style is unique and different from other paintings. I also found the writing and stories compelling and it was easy for me to be emotionally invested in it, in the way I would be invested in a well-written book.","[emotional response, unique artistic style, compelling writing and stories]",unique visual style; compelling writing; emotional investment,emotional response; unique artistic style; compelling writing and stories,7.241926111174567e-155,{0.8143552541732788},{0.5}
"I view video games, along with books, paintings, tv series and movies as art.
Video games have the double edged sword of being comprised of not only a message that the author (developers) want to transmit to you as a gamer, but also the means of interaction. 
Interaction lets you see the artistic values of a game from different perspectives and more often than not shape them to fit your own values.
Baldur's Gate, a classic RPG, is no exception. The storyline is for you to follow, but the path is yours to discover. Immersive is a key word for art mediums, the ability to feel and touch another world and learn about it and its inhabitants by means of interaction.","[artistic elements of gameplay, immersion]","similar to books, paintings, tv series and movies are art; combination of message and interaction; immersion",artistic elements of gameplay; immersion,1.6053711764843032e-232,{0.5939980745315552},{0.19047619047619047}
"I was engaged in the game from start to finish, and by the end I was left completely in awe at how good the game was. The gameplay is perfect, the visuals are perfect, the sound design is perfect. Every single minute detail is a testament to the love and effort put into the production of the game, and it was very, very obvious to me.","[emotional response; emotional response, engagement, attention to detail, love and effort put into the production]",perfect gameplay; perfect visuals; perfect sound design; love and effort invested in making the game,emotional response; emotional response; engagement; attention to detail; love and effort put into the production,2.841632707086713e-78,{0.6178264021873474},{0.26666666666666666}
"I was young, so at the time, this title stood apart. The sun has a face and it wants to hurt you. A raccoon tail let you fly! It was thinking that someone (at the time I probably didn't know that a team of people made this) had to make this, be this creative. ","[emotional response; emotional response, creativity, uniqueness, childhood nostalgia]",game stood apart; creativity of the game makers,emotional response; emotional response; creativity; uniqueness; childhood nostalgia,0.0,{0.4879586696624756},{0.125}
"If we take art to be something created in order to impart emotional experiences on others (my favourite vague definition), then Life is Strange has so so many of those. The basic-looking but gorgeous visuals full of rustic charm and colour, the indie music playing away in the background just over the ambience of life going on as normal, the story perfectly blending in with these elements and ticking away in your mind as you play. It was the first and only time I'd believed in the word immersion as something games were capable of achieving.  The state of bliss and relaxation at the world, but also emotional investment in the characters and even the town itself was unparalleled to me. ","[emotional response, immersion, story, characters, investment, visuals, music, town, relaxation]","emotional experience; combination of visuals, music, and story;  immersion; emotional investment",emotional response; immersion; story; characters; investment; visuals; music; town; relaxation,1.2199981975731961e-231,{0.739998996257782},{0.28571428571428564}
"In my opinion, art is a form of communicating emotion in abstract ways, whether through a painting or a piece of music. This game was an incredibly emotional journey that I felt very connected to despite never being told what to feel. ","[emotional response (``emotional response``'), connection to the game, abstract communication of emotion, personal interpretation]",communicating emotion; emotional journey,emotional response (emotional response'); connection to the game; abstract communication of emotion; personal interpretation,1.1200407237786664e-231,{0.6644678115844727},{0.22222222222222224}
"In order to advance in the game, the player has to exploit the planet's resources and mark its surface. It encapsulates the conflict inherent in advancing standards of living by exploiting nature. The player doesn't even know where the outputs are going, just that their employer, Ficsit Corporation, requires them.","[curiosity about the mysterious employer, ficsit corporation; emotional response; conflict between advancing standards of living and exploiting nature; uncertainty about the impact of the player's actions on the planet]",conflict; emotional challenge,curiosity about the mysterious employer; ficsit corporation; emotional response; conflict between advancing standards of living and exploiting nature; uncertainty about the impact of the player's actions on the planet,7.850707993042515e-232,{0.5222228169441223},{0.0606060606060606}
"Interacting with creativity (your own, or someone else's, or both), in any way seems to be an artful experience. Stories and storytelling is commonly held as an art. Art is often associated with emotional experiences or personal significance. There are probably other things at play that I'm not consciously aware of as well.","[""emotional response""; ""interacting with creativity (your own, or someone else's, or both), in any way seems to be an artful experience.""]",interacting with creativity; storytelling; emotional experience; personal significance,emotional response; interacting with creativity (your own; or someone else's; or both); in any way seems to be an artful experience.,4.336508547901975e-155,{0.5822122693061829},{0.26666666666666666}
"It brought something different to a game, it made me feel strong emotions, it engaged me fully and still has me daydreaming about it weeks later. A lot of detail was put into engaging players.",[emotional response; reflects the range of emotional reactions participants have towards games; unique gameplay experience; attention to detail],novelty; strong emotions; lasting impact; effort in making the game; dreaming about the game afterwards,emotional response; reflects the range of emotional reactions participants have towards games; unique gameplay experience; attention to detail,8.844844403089351e-232,{0.6053248643875122},{0.1818181818181818}
"It evoked some sort of feeling in me. To be art, it has to be able to make people feel things at the bare minimum.",[emotional response; ```emotional response```],making people feel,emotional response; emotional response,0.0,{0.3525344431400299},{0.0}
It felt like the art style had no intention of catering to anyones pleasure. It seemd like an experiment in which the horror derived from self purpose rather than trying achieve some sort of representation.,"[""horror derived from self-purpose""; ""emotional response""]",not catering to anyone's pleasure,horror derived from self-purpose; emotional response,0.0,{0.3805662989616394},{0.0}
"It had a profound emotional impact on me which I can still feel to this day, and it made me consider aspects of the human condition which I previously hadnÃÂÃÂÃÂÃÂt. I found the impact to be greater than many books IÃÂÃÂÃÂÃÂve read and films IÃÂÃÂÃÂÃÂve watched, because of the unique aspect of actually controlling the character in his journey.","[emotional response, consideration of the human condition, unique aspect of controlling the character]",emotional impact; lasting impact; reflection,emotional response; consideration of the human condition; unique aspect of controlling the character,9.594503055152632e-232,{0.6064271926879883},{0.1111111111111111}
"It is a basic murder mystery/logic puzzle. Thanks to the graphical style, the way the player discovers the information and the story, the game is a work of art.",[work of art; emotional response],"combination of visuals, mechanics, and story",work of art; emotional response,9.97486269044271e-232,{0.4142041504383087},{0.1818181818181818}
It is an immersive world and the music was amazing. I honestly feel like the composer should be studied when our current period moves to music history ,[artistic elements of gameplay; emotional response],immersive world; amazing music,artistic elements of gameplay; emotional response,0.0,{0.5359557271003723},{0.0}
It left a lasting impression on me. I think it was quite a meaningful end to the game and it elicited a complex emotional response.,"[emotional response, meaningful ending, complex emotional experience]",lasting impression; complex emotional response,emotional response; meaningful ending; complex emotional experience,6.968148412761692e-155,{0.7950727939605713},{0.3333333333333333}
"It made me experience feelings that I had rarely if ever encountered on other media. Playing as the characters makes you able to emphatise with them and through their actions the artists are able to convey complex messages and emotions. When well executed, I think the player is not merely a spectator, but a ""cable"" that feels the energy passing through","[emotional response, empathy, artistic elements of gameplay, complex messages and emotions, player as a ""cable"" that feels energy passing through]",experiencing rare feelings; empathy with characters; complex messages,emotional response; empathy; artistic elements of gameplay; complex messages and emotions; player as a cable that feels energy passing through,4.017758378857155e-155,{0.6541576385498047},{0.21428571428571425}
It made me feel the same way as art does. It showed me something new and beautiful.,"[emotional response, similarity to art, novelty and beauty]",something new and beautiful,emotional response; similarity to art; novelty and beauty,1.0832677820940877e-231,{0.45720741152763367},{0.3333333333333333}
It made me feel things.,"[emotional response, made me feel things]",feeling things,emotional response; made me feel things,1.1640469867513693e-231,{0.6513645648956299},{0.5}
It managed to spark my curiosity while being visually pleasing.,[emotional response; visual pleasure; curiosity],sparking curiosity; visual pleasure,emotional response; visual pleasure; curiosity,1.2183324802375697e-231,{0.747253954410553},{0.4444444444444445}
"It reminded me more of a movie than a video game, and I think both are art in general.","[emotional response, comparison to movies, classification of games and movies as art]",analogous to other forms of art,emotional response; comparison to movies; classification of games and movies as art,1.2882297539194154e-231,{0.5107707977294922},{0.3333333333333333}
"It took a philosopher/scientists theory, expanded on it, and used it to provoke emotion and thought through their selected medium.","[provoke emotion and thought, emotional response, use of a philosopher/scientist's theory, expansion on the theory through the medium of gameplay]",provoking emotion; provoking thought,provoke emotion and thought; emotional response; use of a philosopher/scientist's theory; expansion on the theory through the medium of gameplay,0.0,{0.5456677079200745},{0.23076923076923075}
"It was able to make me feel emotion, whether it was happiness, frustration or sadness","[emotional response, happiness, frustration, sadness]",emotion,emotional response; happiness; frustration; sadness,0.0,{0.49710988998413086},{0.33333333333333337}
It was aesthetically pleasing and I had dreams about it after finishing it,[aesthetic appeal; emotional response],aesthetically pleasing; lasting impact; dreaming about the game afterwards,aesthetic appeal; emotional response,0.0,{0.6359463930130005},{0.15384615384615383}
